 Catalogue of Wide-Field Plate Archives (version 5.7 January 2012)																															
WFPDB Instrument Identifier		Original Name of the Instrument	Location of the Archive		Observatory			Marsden's No.	Time Zone	East Longitude	Latitude	Altitude	Clear Aperture		Mirror Diameter	Focal Length	Scale	Type	Field Size	Years of Operation		P/F	Number of Direct Plates		Orig.Plate Number from.. to..	Arch. Type	Number of Sp. Plates	Arch.  Type	Quality	Astronomer in Charge	
			Site	Country	Name	Site	Country		h	o     '  	o     '  	m	m		m	m	"""/mm"		o	from	to		  								
1			2	3	4	5	6	7	8	9	10	11	12		13	14	15	16	17	18	19	20	21		22	23	24	25	26	27	
BAM010I	***	Bloemfontein	Bamberg	Germany	Remeis Obs.- South. St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.10		0.61	338	Cam	13.0	1963	1972		1942			C			A	U.Heber   	
BAM010J	***	Bloemfontein	Bamberg	Germany	Remeis Obs.- South. St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.10		0.61	338	Cam	13.0	1963	1972		1939			C			A	U.Heber   	
BAM010K	***	Mt. John	Bamberg	Germany	Remeis Obs.- South. St.	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.10		0.61	338	Cam	13.0	1967	1976		1437			C			A	U.Heber   	
BAM010L	***	Mt. John	Bamberg	Germany	Remeis Obs.- South. St.	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.10		0.61	338	Cam	13.0	1967	1976		1456			C			A	U.Heber   	
BAM010M	***	Mt. John	Bamberg	Germany	Remeis Obs.- South. St.	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.10		0.61	338	Cam	13.0	1967	1976		1177			C			A	U.Heber   	
BAM010N	***	Mt. John	Bamberg	Germany	Remeis Obs.- South. St.	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.10		0.61	338	Cam	13.0	1967	1976		1172			C			A	U.Heber   	
BAM010O	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		134			C			A	U.Heber   	
BAM010P	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		139			C			A	U.Heber   	
BAM010Q	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		135			C			A	U.Heber   	
BAM010R	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		136			C			A	U.Heber   	
BAM010S	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		136			C			A	U.Heber   	
BAM010T	***	San Miguel	Bamberg	Germany	Remeis Obs.- South. St.	San Miguel	Argentina		–5	–58 43.9	–34 33.4	37		0.10		0.61	338	Cam	13.0	1969	1972		129			C			A	U.Heber   	
BAM010U		Aero Tessar	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288		0.10		0.61	338	Cam	13.0	1961			150						A	U.Heber   	
BAM011		Dogmar (110/50/417)	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288		0.11		0.50	417	Cam		1931	1961		200						A	U.Heber   	
BAM014A		UV Objective	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288		0.14		0.14	1528	Cam		1925	1926		250						A	U.Heber   	
BAM014B	***	" Ernostar (135/240/859"")"	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288		0.14		0.24	859	Cam	28.0	1928	1962		6400			C			A	U.Heber   	
BAMAEK		Aero Ektar	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288						Cam		1964			150						A	U.Heber   	
BAMVLI		Vierlinser	Bamberg	Germany	Remeis Obs.	Bamberg	Germany	521	1	10 53.4	49 53.1	288						Cam		1932	1962		150						A	U.Heber   	
BEI040	 		Xing–Long	China 	Beijing	Xing–Long	China 	327	8	117 34.5	40 23.7	870	2x	0.40		2.00	103	Ast	8.0	1963										S.Lan	
BEI060	**		Xing–Long	China 	Beijing	Xing–Long	China 	327	8	117 34.5	40 23.7	870		0.60	0.90	1.80	115	Sch	5.5	1963			3000			TC			B	S.Lan	
BEL012		Ascania Refractor	Belgrade	Serbia	Belgrade	Belgrade	Serbia	057	1	20 31.0	44 48.2	253		0.12		1.00	206	Rfr	7.0	1970	1996		4000			T			B	V.Protic-Benishek	
BEL016A		Zeiss Astrograph	Belgrade	Serbia	Belgrade	Belgrade	Serbia	057	1	20 31.0	44 48.2	253		0.16		0.80	258	Cam	11.0	1936	1985		10000			T			A	V.Protic-Benishek	
BEL016B		Zeiss Refractor with Tessar and Petzval Cameras	Belgrade	Serbia	Belgrade	Belgrade	Serbia	057	1	20 31.0	44 48.2	253	2x	0.16		0.80	258	Cam	9.0	1936	1941		500			T			B	V.Protic-Benishek	
BON			Brussels	Belgium	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.34	0.50	1.37	140	Sch	3.5	1985	1998		250							T.Pauwels	
BON011	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.11		0.65	317	Cam	3.0											M.Geffert	
BON020	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.20	0.30	0.25	835	Sch	6.5											M.Geffert	
BON030A	*		Bonn	Germany	Bonn	Bonn	Germany	520	1	07 04.1	50 09.8	91	2x	0.30		5.10	40	Rfr	1.8	1900	1964		600	:		T				M.Geffert	
BON030A	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533	2x	0.30		5.10	40	Rfr	1.8	1965	1993		1200	:		TC				M.Geffert	
BON030B	**		Bonn	Germany	Bonn	Bonn	Germany	520	1	07 04.1	50 09.8	91		0.30		1.50	130	Ast	8.7	1931	1953		748			TC				M.Geffert	
BON030B	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.30		1.50	130	Ast	8.7	1954	1968		200	:		TC				M.Geffert	
BON030C	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.30		1.50	130	Ast	8.7	1968			2300	:		TC				M.Geffert	
BON034	**		Bonn	Germany	Hoher List	Daun	Germany	017	1	06 51.0	50 09.8	533		0.34	0.50	1.37	140	Sch	3.5	1954			5232			TC				M.Geffert	
BOR033	**		Floirac	France	Bordeaux	Floirac	France	999	1	00 31.7	44 50.1	73		0.33		3.47	59	Ast	2.5	1893			4151			C				M.Rapaport	
BOR038		Grand Equatorial	Floirac	France	Bordeaux	Floirac	France	999	1	00 31.7	44 50.1	73		0.38		6.82	0.3	Cam	1.2				200			T				M.Rapaport	
BOS051			Lembang	Indonesia	Bosscha	Lembang	Indonesia	299	7	107 37.0	–06 49.5	1300		0.51	0.71	1.27	162	Sch	5.0	1960			5000	:		T				B.Hidayat	
BUC016	***		Bucharest	Romania	Bucharest	Bucharest	Romania	073	2	26 05.8	44 24.8	81		0.16		0.80	258	Cam	7.4	1930	1961		180			C			A	Gh.Bocsa	
BUC038	***	Prin-Merz 	Bucharest	Romania	Bucharest	Bucharest	Romania	073	2	26 05.8	44 24.8	81		0.38		6.00	34	Rfr	2.3	1930	2005		10550			C			A	Gh.Bocsa	
BYU053		53 cm Schmidt Telescope	Byurakan	Armenia	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		0.53	0.53	1.83	113	Sch	5.0	1958			20000			T			D	A.Mickaelian	
BYU053		53 cm Schmidt Telescope	Kyiv	Ukraine	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		0.53	0.53	1.83	113	Sch	5.0	1985	1985		28			T			 	O.Yizhakevych	
BYU053	*	53 cm Schmidt Telescope	Sofia	Bulgaria	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		0.53	0.53	1.83	113	Sch	5.0	1973	1981		150			C			A	M.Tsvetkov	
BYU053		53 cm Schmidt Telescope	Szombathely	Hungary	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		0.53	0.53	1.83	113	Sch	5.0	1971			230			C			B	I.Jankovics	
BYU100		1 m Schmidt Telescope	Byurakan	Armenia	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		1.00	1.50	2.13	97	Sch	4.0	1961			20000			T	4000	T	D	A.Mickaelian	
BYU100		1 m Schmidt Telescope	Kyiv	Ukraine	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		1.00	1.50	2.13	97	Sch	4.0	1983	1983		15			T				O.Yizhakevych	
BYU100	*	1 m Schmidt Telescope	Sofia	Bulgaria	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		1.00	1.50	2.13	97	Sch	4.0	1973	1981		400			C	50	T	A	M.Tsvetkov	
BYU100		1 m Schmidt Telescope	Szombathely	Hungary	Byurakan	Byurakan	Armenia	123	4	44 17.5	40 20.1	1500		1.00	1.50	2.13	97	Sch	4.3	1968			200			C			B	I.Jankovics	
CAN012			Canterbury	New Zealand	Canterbury	Mt John	New Zealand	474	12	172 30.0	–43 32.0	30		0.12		0.88	231	Ast		1966	1972		200			T			A	J.Hearnshaw	
CAP033		CdC Astrograph	Cape Town	South Africa	Cape of Good Hope Obs.	Cape Town	South Africa	051	2	18 28.5	–33 56.0	10		0.33		3.43	60	Ast	2.0	1897	1912		1512								
CAT033		Equatorial Steinheil	Serra la Nave	Italy	Catania	Serra la Nave	Italy	559	1	14 58.4	37 41.5	1735		0.33		3.43	60	Ast	2.7	1894	1932		1600	:		T				E.Marilli	
CAT033		Equatorial Steinheil	Serra la Nave	Italy	Catania	Serra la Nave	Italy	559	1	14 58.4	37 41.5	1735		0.33		3.43	60	Ast	2.7	1956	1964		100	:		T				E.Marilli	
CAT033		Equatorial Steinheil	Serra la Nave	Italy	Catania	Serra la Nave	Italy	559	1	14 58.4	37 41.5	1735		0.33		3.43	60	Ast	2.7	1985	1992		100	:		T				E.Marilli	
CAT041		41/61 cm Schmidt	Serra la Nave	Italy	Catania	Serra la Nave	Italy	559	1	14 58.4	37 41.5	1735		0.41	0.61	1.22	168	Sch	4.2	1968	1992		1200			TC				E.Marilli	
CER090			Brussels	Belgium	CERGA	Caussols	France	010	1	06 55.6	43 44.9	1272		0.90	1.52	3.16	65	Sch	5.2	1985	1998		300			 				T.Pauwels	
CER090	**		Caussols	France	CERGA	Caussols	France	010	1	06 55.6	43 44.9	1272		0.90	1.52	3.16	65	Sch	5.2	1976			3000	:		TC				Ch.Pollas	
CES051		Double Astrograph	New Haven	USA CT	Cesco Obs.	San Juan	Argentina	808	–3	–68 37.2	–31 30.6	700	2x	0.51				Ast	6.5	1965	1999		3090							W.van Altena	
CLU0201	**	Prin Construction Refractor	Cluj-Napoca	Romania	Cluj-Napoca	Cluj-Napoca	Romania		2	23 53.5	46 46.5	412		0.20		3.00	69	Rfr	2.7	1952	1965		744			C				L.Mircea	
CLU0202	**	Prin Construction Refractor	Cluj-Napoca	Romania	Cluj-Napoca	Cluj-Napoca	Romania		2	23 53.5	46 46.5	412		0.20		3.00	69	Rfr	2.7	1952	1963		380			C				L.Mircea	
CLU0501	**	Newton Telescope	Cluj-Napoca	Romania	Cluj-Napoca	Cluj-Napoca	Romania		2	23 53.5	46 46.5	412			0.50	2.50	82	Rfl	1.7	1952	1974		4501			C				L.Mircea	
CLU0502	**	Newton Telescope	Cluj-Napoca	Romania	Cluj-Napoca	Cluj-Napoca	Romania		2	23 53.5	46 46.5	412			0.50	2.50	82	Rfl	1.7	1952	1966		245			C				L.Mircea	
COP045	***		Brorfelde	Denmark	Copenhagen Uni.	Copenhagen	Denmark	054	1	11 40.0	55 37.5	90		0.45	0.77	1.50	137	Sch	5.3	1966			813			C	551	C		K.Augustesen	
COR029		 	Cambridge	USA MA	Cordoba Obs.	Cordoba	Argentina	822	-3	295 48.0	–31 25.3	434		0.29		 	52	Rfr	1.7	1872	1873		109							A.Doane	
COR029		 	Cambridge	USA MA	Cordoba Obs.	Cordoba	Argentina	822	-3	295 48.0	–31 25.3	434		0.29		 	50	Rfr	1.7	1875	1882		1099							A.Doane	
COR033		CdC Astrograph	Cordoba	Argentina	Cordoba Obs.	Cordoba	Argentina	822	-3	295 48.0	–31 25.3	434		0.33		3.43	60	Ast	2.0	1909	1913		1360								
CRI012		Zeiss Double Astrograph	Odessa	Ukraine	Crimean Obs.–Simeiz	Simeiz	Ukraine	 094	3	33 59.8	44 24.2	300	2x	0.12		0.25	352	Ast	35.0	1909	1953		6900	:		T				S.Kashuba	
CRI017A	***	Dogmar  	Crimea	Ukraine	Crimean Obs.–Simeiz	Simeiz	Ukraine	094	3	33 59.8	44 24.2	300		0.17		0.75	276	Cam	13.0	1948	1965		516			C	54	C	A	N.Bondar	
CRI017B	***	Dogmar  	Crimea	Ukraine	Crimean Obs.–Nauchny	Nauchny	Ukraine	095	3	34 01.0	44 43.7	600		0.17		0.75	276	Cam	13.0	1951	1953		49			C			A	N.Bondar	
CRI040A	***	Astrograph	Crimea	Ukraine	Crimean Obs.–Simeiz	Simeiz	Ukraine	094	3	33 59.8	44 24.2	300		0.40		1.60	129	Ast	10.0	1947	1948		59			C	159	C	A	N.Bondar	
CRI040B	***	Double Astrograph	Crimea	Ukraine	Crimean Obs.–Nauchny	Nauchny	Ukraine	095	3	34 01.0	44 43.7	600	2x	0.40		1.60	129	Ast	10.0	1951	1965		215			C	296	C	A	N.Bondar	
CRI040C		Double Astrograph	Crimea	Ukraine	Crimean Obs.–Nauchny	Nauchny	Ukraine	095	3	34 01.0	44 43.7	600	2x	0.40		1.60	129	Ast	10.0	1963	1998		9781			C			A	V.Rumyantsev	
CRO020		Schmidt	"London, Ontario"	Canada	Cronyn Obs.	Uni.Western Ontario	Canada		-5	–77 49.0	43 30.0	251		0.20	0.30			Sch		1955	1974		531								
CRO070			Pulkovo	Russia	Cerro el Roble	Cerro el Roble	Chile	805	–4	–71 01.2	–32 58.9	2220		0.70	0.98	2.10	98	Men	4.9	1962	1972									N.Bronnikova	
CSS040	**		Moscow	Russia	Crimean South.St.	Nauchny	Russia	095	3	34 01.0	44 43.7	550		0.40		1.60	129	Ast	10.0	1958	1996		22400			TC				S.Shugarov	
CSS050	**	AZT-5	Moscow	Russia	Crimean South.St.	Nauchny	Russia	095	3	34 01.0	44 43.7	550		0.50	0.70	2.00	103	Men	3.5	1958	1998		10000	:		TC	2000			S.Shugarov	
DRA021		"8 1/4 "" Photographic Refractor"	Des Moines	USA IA	Drake Municipal Obs.	Des Moines	USA IA	742	-6	–93 29.6	41 35.8			0.21				Rfr		1920	1970		500			C				Ch.Nelson	
DUS006			Dushanbe	Tajikistan	Dushanbe Inst. Astroph.	Dushanbe	Tajikistan	191	5	68 40.0	38 33.0	800		0.06		0.30	690	Cam	36.0	1940	1967		70000			T			B	V.Satyvoldiev	
DYE061		"24"" Baker-Schmidt "	Nashville	USA TN	Dyer Obs.Vanderbilt Uni.	Brentwood	USA TN		-5	–86 48.3	36 03.1	345		0.61		2.08	99	Sch	5.0	1953			2720			T	1550	T		A.Heiser	
EAO020			Kazan	Russia	Engelhardt Obs.	Kazan	Russia	136	3	48 48.9	55 50.3	98		0.20		2.00	103	Ast	6.0	1988	1995		600			T			B	N.Rizvanov	
EAO035			Kazan	Russia	Engelhardt Obs.	Kazan	Russia	136	3	48 48.9	55 50.3	98		0.35	0.49	1.20	172	Men	4.1	1963	1995		4300			T	400	T	B	I.Dubjago	
EAO038			Kazan	Russia	Engelhardt Obs.	Kazan	Russia	136	3	48 48.9	55 50.3	98		0.38	0.52	0.93	222	Sch	5.5	1940	1963		6000			T	200	T	B	I.Dubjago	
EAO038			Kazan	Russia	Engelhardt South. St.	Alma-Ata	Kazakhstan	210	5	76 58.1	43 04.0	3000		0.38	0.52	0.93	222	Sch	5.5	1964	1977		13000			T	100	T	B	I.Dubjago	
EAO038			Kazan	Russia	Engelhardt South. St.	Zelenchuk	Russia	114	2	41 26.6	43 39.2	2040		0.38	0.52	0.93	222	Sch	5.5	1978	1983		11000			T			B	I.Dubjago	
EAO040A			Kazan	Russia	Engelhardt Obs.	Kazan	Russia	136	3	48 48.9	55 50.3	98		0.40		3.78	55	Ast	2.4	1973	1988		1000			T			BD	N.Rizvanov	
EAO040B			Kazan	Russia	Engelhardt South. St.	Zelenchuk	Russia	114	3	41 26.6	43 39.2	2040		0.40		2.00	103	Ast	8.9	1975	1995		8000			T			B	N.Rizvanov	
EAO040B			Kyiv	Ukraine	Engelhardt South. St.	Zelenchuk	Russia	114	3	41 26.6	43 39.2	2040		0.40		2.00	103	Ast	8.9	1982	1993		142			C			AB	V.Golovnya	
ELG120			Elginfield	Canada	Elginfield Obs.  	Uni.Western Ontario	Canada	440	-5	–77 49.8	43 12.0	320			1.20	9.96	21	RCr	1.2	1969	1991		1783								
ESO040	**	GPO	Brussels	Belgium	ESO	La Silla	Chile	809	–4	–70 43.8	–29 15.4	2347		0.40		4.03	51	Ast	2.3	1976	1993		8200			TC				T.Pauwels	
ESO040		GPO	Garching	Germany	ESO	La Silla	Chile	809	–4	–70 43.8	–29 15.4	2347		0.40		4.00	51	Ast	2.2	1976			15100			TC			D	R.West	
ESO040	**	GPO	Sofia	Bulgaria	ESO	La Silla	Chile	809	–4	–70 43.8	–29 15.4	2347		0.40		4.00	52	Ast	2.2	1985	1991		700			C			A	M.Tsvetkov	
ESO100		ESO Schmidt	Brussels	Belgium	ESO	La Silla	Chile	809	-4	–70 43.8	–29 15.4	2347		1.00	1.60	3.06	67	Sch		1985	1998		1000							T.Pauwels	
ESO100	***	ESO Schmidt	Garching	Germany	ESO	La Silla	Chile	809	–4	–70 43.8	–29 15.4	2347		1.00	1.60	3.06	67	Sch	3.6	1969			7530			C	525	C	A	R.West	
GAO018			Szombathely	Hungary	Szombathely	Gothard Obs.	Hungary		1	16 31.5	47 15.8			0.18		2.36		Rfr		1892			100			C				I.Jankovics	
GLL025			Flagstaff	USA AZ	Goethe Link–Lowell	Brooklyn	USA IN	760	–5	–86 23.7	39 33.0	300		0.25		1.75	120	Ast	3.3	1949	1967		6000			C				B.Skiff	
GUA010A	***	TCA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211		0.10		0.50	412	Ast	20.0	1957	1961		438			C				V.Golovnya	
GUA010B	***	TCA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211		0.10		0.50	412	Ast	20.0	1957	1961		277			C				V.Golovnya	
GUA011A	***	TCA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211		0.11		1.20	172	Ast	8.0	1955	1957		35			C				V.Golovnya	
GUA011B	***	TCA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211		0.11		1.20	172	Ast	8.0	1955	1957		55			C				V.Golovnya	
GUA012A	***	DSA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.12		0.70	295	Ast	20.0	1949	1990		2041			C				L.Kizyun	
GUA012B	***	DSA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.12		0.70	295	Ast	20.0	1949	1978		2143			C	7			L.Kizyun	
GUA015	***	TCA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211		0.15		1.70	121	Ast	6.0	1955	1961		162			C				V.Golovnya	
GUA040A	* 	DLA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.40		5.50	38	Ast	2.5	1949	1986		9500			T				S.Shatokhina	
GUA040B	* 	DLA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.40		5.50	38	Ast	2.5	1949	1986		1000			T				S.Shatokhina	
GUA040C	***	DWA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.40		2.00	103	Ast	8.5	1976	1998		4276			C				V.Golovnya	
GUA040D	***	DWA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.40		2.00	103	Ast	8.5	1976	1997		1834			C				O.Yizhakevych	
